"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""2000 <= Year >= 2022"",""Region = 81 - E. Australia, New Zealand, South Pacific Is.;80 - Hawaii, Johnston Atoll, Midway I;82 - New Caledonia, New Guinea, Solomon Is., Vanuatu;83 - E. Indonesia and Malaysia;84 - China, North and South Korea, Philippines, Taiwan;85 - Japan;86 - Kamchatka and Kuril Islands;60 - Indian Ocean (including W. Australia and W. Indonesia)""]"																																													
	2016	12	9	19	10	6.8	4	1	6.9			0	"SOLOMON ISLANDS"	"SOLOMON ISLANDS"	-10.749	161.132	0.05	5																											
	2016	12	17	10	51	10.5	4	1	7.9			0	"PAPUA NEW GUINEA"	"SOLOMON SEA"	-4.505	153.522	0.08	5																											
	2017	1	3	21	52	30.7	4	1	6.9			0	"FIJI"	"FIJI ISLANDS"	-19.373	176.052	0.01	1																											
	2017	1	22	4	30	23	4	1	7.9			0	"PAPUA NEW GUINEA"	"BOUGAINVILLE ISLAND"	-6.246	155.172	0.04	1																3	1						1		3		
	2017	4	28	20	23	17.3	4	1	6.9			0	"PHILIPPINES"	"SOCCSKSARGEN, PHILIPPINES"	5.504	125.066	0.2	1								2	1											7	1		1	1	1		1
	2017	7	17	23	34	13.7	4	1	7.7			0	"RUSSIA"	"BERING ISLAND"	54.443	168.857	0.1	1																											
	2017	10	31	0	42	8.7	4	1	6.7			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-21.697	169.149	0.15	4																											
	2017	11	1	2	23	57.7	4	1	6.6			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-21.648	168.859	0.1	4																											
	2017	11	5	9	0	0	0	8				0	"VIETNAM"	"QUANG NAM"	15.317	108.249	8.5	1				1	1			3	1		1	3	1	3	1	1	1			3	1		1	3	1	3	1
	2017	11	19	9	25	48.7	4	1	6.3			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-21.638	168.673	0.05	1																											
	2017	11	19	15	9	2.9	4	1	6.6			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-21.503	168.598	0.08	1																											
	2017	11	19	22	43	29.3	4	1	7			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-21.325	168.672	0.37	5																											
	2017	12	8				3	0				0	"KERMADEC ISLANDS"	"KERMADEC ISLANDS"	-30	-179	0.5	6																											
	2018	2	9				4	6		7104		0	"PAPUA NEW GUINEA"	"KADOVAR ISLAND, PAPUA NEW GUINEA"	-3.608	144.588	1	1																											
	2018	5	4	22	32	37	4	4	6.9	6864		0	"USA"	"HAWAII"	19.318	-155	0.4	7																				1	1	370	4	716	3		
	2018	5	6	6	3	59.3	4	1	5.4	7541		0	"JAPAN"	"S. OF HONSHU ISLAND"	31.444	140.193	0.15	1																											
	2018	7	28	22	47	38.7	3	1	6.4			0	"INDONESIA"	"BALI SEA"	-8.24	116.508	2.5	2											1		1			17	1			355	3		3	5448	4		3
	2018	8	5	11	46	38.6	4	1	6.9			0	"INDONESIA"	"BALI SEA"	-8.258	116.438	2	6																560	3			7733	4	509	4		3	83392	4
	2018	8	19	0	19	40.7	4	1	8.2			0	"FIJI"	"FIJI ISLANDS"	-18.113	-178.153		0																											
	2018	8	19	4	11	4	3	1	6.3			0	"INDONESIA"	"BALI SEA"	-8.337	116.599		0																2	1			1	1		2			1705	4
	2018	8	29	3	51	56.1	4	1	7.1			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-22.03	170.126	0.27	7																											
	2018	9	28	10	2	45.3	4	3	7.5			2	"INDONESIA"	"SULAWESI"	-0.256	119.846	10.73	291				4340	4	667	3	10679	4	1500	4	3673	4	39191	4	4340	4	667	3	10679	4	1500	4	3673	4	39191	4
	2018	10	16	1	3	43.6	4	1	6.5			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-21.743	169.522	0.05	1																											
	2018	12	5	4	18	42	4	1	7.5			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-21.95	169.427	2	34											1				1								1				1
	2018	12	11	4	48		0	8				0	"RUSSIA"	"BUREYA, FAR EASTERN RUSSIA"	50.559	131.472	90	49																											
	2018	12	22	13	55		4	7		7264		2	"INDONESIA"	"KRAKATAU"	-6.102	105.423	85	410				437	3	10	1	31943	4	250	4		3	2844	4	437	3	10	1	31943	4	250	4		3	2844	4
	2019	3	20				3	9				0	"JAPAN"	"NAGASAKI, JAPAN"			2.9	2											2												2				
	2019	5	14	12	58	25	2	1	7.6			0	"PAPUA NEW GUINEA"	"RABAUL, NEW BRITAIN"	-4.051	152.597		0																					1		1		1		1
	2019	6	15	22	55	2	4	1	7.2			0	"NEW ZEALAND"	"S OF RAOUL ISLAND, KERMADEC ISLANDS"	-30.805	-178.095	0.14	7																											
	2019	6	18	13	22	19	4	1	6.4			0	"JAPAN"	"NIIGATA"	38.646	139.472	0.11	8																				28	1		2			144	3
	2019	8	2	12	3	27	2	1	6.9			0	"INDONESIA"	"W. JAVA"	-7.282	104.791		6																8	1			8	1		2	13	1	458	3
	2019	11	14	16	17	40	4	1	7.1			0	"INDONESIA"	"N. MOLUCCAS ISLANDS"	1.6	126.416	0.11	8																1	1			3	1		1			36	1
	2020	3	25	2	49	21	4	1	7.5			0	"RUSSIA"	"N. KURIL ISLANDS"	48.986	157.693	0.25	16																											
	2020	5	29	5	30		0	4		7504		0	"INDONESIA"	"LESSER SUNDA: BALI: IJEN VOLCANO"	-8.058	114.242	3	1																1	1										
	2020	6	18	12	49	53	4	1	7.4			0	"NEW ZEALAND"	"S OF RAOUL ISLAND, KERMADEC ISLANDS"	-33.294	-177.838	0.11	4																											
	2021	2	10	13	19	55	4	1	7.7			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-23.054	171.601	0.78	39																											
	2021	2	13	14	7	50	4	1	7.1			0	"JAPAN"	"OFF FUKUSHIMA PREFECTURE"	37.745	141.749	0.1	4																1	1			186	3	7700	4	798	3	19758	4
	2021	3	4	13	27	36	4	1	7.3			0	"NEW ZEALAND"	"GISBORNE"	-37.563	179.444	0.28	9																											
	2021	3	4	17	41	25	4	1	7.4			0	"NEW ZEALAND"	"S OF RAOUL ISLAND, KERMADEC ISLANDS"	-29.613	-177.843	0.31	11																											
	2021	3	4	19	28	31	4	1	8.1			0	"NEW ZEALAND"	"S OF RAOUL ISLAND, KERMADEC ISLANDS"	-29.74	-177.267	1	174																											
	2021	6	16	4	43	7	4	3	5.8			0	"INDONESIA"	"BANDA SEA"	-3.593	129.503	0.51	3																							1				1
	2021	8	11	17	46	14	4	1	7.1			0	"PHILIPPINES"	"MINDANAO ISLAND, PHILIPPINES"	6.455	126.742	0.05	2																1	1										
	2021	12	14	3	20	24	4	1	7.3			0	"INDONESIA"	"FLORES SEA"	-7.603	122.2	0.07	2																				1	1		2	41		200	3
	2022	1	13				4	6				0	"TONGA"	"TONGA ISLANDS"	-20.536	-175.382	0.15	1																											
	2022	1	15	4	14	45	4	6		7551		0	"TONGA"	"TONGA ISLANDS"	-20.536	-175.382	22	769				6	1			20	1	118.648	4	284	3	182	3	6	1			20	1	135.368	4	284	3	182	3
	2022	1	16				4	6				0	"TONGA"	"TONGA ISLANDS"	-20.536	-175.382	0.36	1																											
	2022	1	29	2	46	39	4	1	6.5			0	"NEW ZEALAND"	"KERMADEC ISLANDS"	-29.531	-176.749	0.1	1																											
	2022	3	16	14	36	33	4	1	7.3			0	"JAPAN"	"OFF FUKUSHIMA PREFECTURE"	37.702	141.587	0.31	11																4	1			247	3	8800	4	217	3	56718	4
	2022	3	30	20	56	58	4	1	6.9			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-22.716	170.286	0.07	3																											
	2022	3	31	5	44	1	4	1	7			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-22.579	170.354	0.05	1																											
	2022	4	12	7	0		3	8				0	"PHILIPPINES"	"ABUYOG, LEYTE"	10.715	125.04		0					1											170	3	128	3				2				
	2022	7	27	0	43	24	4	1	7			0	"PHILIPPINES"	"N. LUZON ISLAND"	17.56	120.801	0.08	1																11	1			609	3	48.48	4	856	3	35924	4
	2022	11	11	10	48	45	4	1	7.3			0	"TONGA"	"TONGA ISLANDS"	-19.318	-172.1	0.12	4																											
	2022	11	22	2	3	7	4	1	7			0	"SOLOMON ISLANDS"	"SOLOMON ISLANDS"	-9.812	159.596	0.03	1																				3	1		2		1		
	2022	11	30	10	48	0	0	1	5.4			0	"NEW ZEALAND"	"LAKE TAUPO, NORTH ISLAND"	-38.808	175.906	1	4											1												1				
