"source_country_iso3c","exporter_iso3c","consumer_iso3c","total_weight"
"AUS","JPN","PNG",5.01347608982951
"AUS","MHL","VNM",0.680673394219497
"AUS","NRU","JPN",23.8716731031595
"AUS","NRU","MOZ",27.2797388284759
"AUS","NZL","FJI",71.7896051325927
"AUS","NZL","PNG",30.4686789631519
"AUS","NZL","TON",3.10172037471775
"AUS","NZL","WSM",11.9285206533514
"AUS","PNG","CHE",5.3152818399748
"AUS","PNG","CHN",13.8900004669013
"AUS","PNG","DEU",6.53984288695443
"AUS","PNG","ESP",115.594619644312
"AUS","PNG","GBR",0.184957299295073
"AUS","PNG","GRC",1.4935623968114
"AUS","PNG","ITA",41.00034458659
"AUS","PNG","JPN",26.7186864631132
"AUS","PNG","MAR",3.60782824937957
"AUS","PNG","NLD",0.14799538733297
"AUS","PNG","PHL",5.77537706027159
"AUS","PNG","PRT",1.6222679797933
"AUS","PNG","THA",36.7129802393067
"AUS","PNG","TWN",5.49474560866032
"AUS","PNG","USA",0.215789339590359
"AUS","THA","FJI",0.115750891030915
"AUS","THA","PNG",16.0241534553942
"AUS","TON","CHN",8.23268463054924
"AUS","TON","JPN",1.88035154864108
"AUS","TON","USA",2.87094525524245
"AUS","TWN","FJI",5.80803399398074
"AUS","TWN","WSM",0.129789231109509
"AUS","USA","FJI",5.57994885353973
"AUS","USA","WSM",2.83543311850753
"AUS","VNM","WSM",0.31800651833411
"AUS","WSM","CHN",2.76510725342302
"AUS","WSM","COL",3.36320926852202
"AUS","WSM","FJI",13.7965020739279
"AUS","WSM","JPN",131.067064790618
"AUS","WSM","NZL",0.978617959423674
"AUS","WSM","USA",649.946588162093
"AUS","ZAF","FJI",0.596227781481293
"BGD","BGD","MHL",5.18149466966156
"BGD","CHN","FJI",0.206165401201155
"BGD","CHN","PNG",0.261037738433648
"BGD","CHN","WSM",0.263553035830418
"BGD","USA","TON",0.183889110447724
"BGR","CHN","FJI",2.73317054557494
"BGR","CHN","FSM",0.14979789485703
"BGR","CHN","MHL",0.0306980408819529
"BGR","CHN","SLB",0.894433509290031
"BGR","CHN","WSM",0.29262519326931
"BGR","ZAF","FJI",0.0927674697173152
"BHR","BHR","MHL",0.261229586517154
"BHR","BHR","VUT",2.62404696634972
"BHS","USA","WSM",7.21947757512211
"BLZ","CHN","FJI",0.58161146678419
"BLZ","CHN","PNG",0.127718050618489
"BLZ","ECU","KIR",0.807557231124791
"BLZ","ESP","KIR",1.84782883662695
"BLZ","ESP","SLB",4.48406806024666
"BLZ","ITA","PNG",0.158379720134001
"BLZ","PHL","PNG",0.114015309439671
"BLZ","PNG","DEU",3.64827832657513
"BLZ","PNG","ESP",1.94088505890674
"BLZ","PNG","FRA",0.169005600544795
"BLZ","PNG","GBR",0.836369255316907
"BLZ","PNG","ITA",0.243056093565652
"BLZ","PNG","NLD",0.446435207866815
"BLZ","SLB","ITA",0.358500734714172
"BLZ","SLB","THA",0.0815115888360773
"BLZ","THA","FJI",0.142856004208198
"BLZ","THA","FSM",0.0288981688057011
"BLZ","THA","PNG",32.3355244824855
"BLZ","THA","SLB",0.10442411128069
"BLZ","THA","VUT",0.684094643595772
"BLZ","TWN","FJI",1.4413527412887
"BRA","ARG","FJI",7.12447209360329
"BRA","AUS","FSM",0.261915691216556
"BRA","BRA","MHL",14.6557580396423
"BRA","CAN","FJI",0.268892679934048
"BRA","CHN","FJI",7.43224240736514
"BRA","CHN","PNG",2.71588522572907
"BRA","CHN","WSM",2.02325049848567
"BRA","DEU","PNG",0.0820983735830796
"BRA","ECU","KIR",2.50774822941645
"BRA","EGY","PNG",0.396070976974857
"BRA","ESP","KIR",5.31512865957708
"BRA","ESP","SLB",0.26167904623956
"BRA","FJI","CHN",6.21512597373303
"BRA","FJI","ESP",0.178005376650372
"BRA","FJI","IND",0.249397485489296
"BRA","FJI","JPN",7.70402226883614
"BRA","FJI","KOR",1.54342264224091
"BRA","FJI","LKA",0.896777686495525
"BRA","FJI","NZL",0.722279983340594
"BRA","FJI","SGP",0.0209903500853069
"BRA","FJI","THA",0.324998791846949
"BRA","FJI","TLS",0.113234545165449
"BRA","FJI","TWN",1.12825909447828
"BRA","FJI","USA",32.0815763145664
"BRA","FJI","VNM",0.200714032658373
"BRA","FJI","ZAF",3.44562608674247
"BRA","FRA","PNG",0.087968768259545
"BRA","IDN","PNG",0.744755220284326
"BRA","ITA","PNG",0.365434150735593
"BRA","KIR","COL",0.374522693760785
"BRA","KIR","ECU",0.0171323002635108
"BRA","KIR","JPN",2.42659345146488
"BRA","KIR","KOR",0.0745778935284123
"BRA","KIR","MEX",0.263079941933126
"BRA","KIR","PHL",0.0892306782774755
"BRA","KIR","SLV",0.0465564657322848
"BRA","KIR","THA",0.670545865628114
"BRA","MAR","FJI",0.916662072252805
"BRA","MHL","THA",0.15863000774004
"BRA","MHL","TWN",0.760012944261206
"BRA","MUS","FJI",0.0806188835064132
"BRA","MYS","FJI",0.217806065981
"BRA","PNG","AUT",0.140060009221175
"BRA","PNG","BEL",0.928102146879098
"BRA","PNG","CHE",0.121050512096307
"BRA","PNG","CZE",0.170235565994952
"BRA","PNG","DEU",17.9415930319927
"BRA","PNG","ESP",7.79025885404081
"BRA","PNG","FRA",1.84791802769307
"BRA","PNG","GBR",6.14906409129959
"BRA","PNG","ITA",2.66857645128309
"BRA","PNG","NLD",2.19204458045416
"BRA","PNG","PHL",0.174255032105507
"BRA","PNG","POL",0.191723646157468
"BRA","PNG","PRT",0.14029848973286
"BRA","PNG","THA",0.038361416929242
"BRA","PNG","USA",2.46129564630984
"BRA","PNG","VUT",0.188150903596069
"BRA","SLB","ESP",0.212227590974835
"BRA","SLB","FJI",0.151294323019257
"BRA","SLB","ITA",2.93303031322729
"BRA","SLB","USA",0.668124705418681
"BRA","THA","FJI",8.98487720899241
