"Country","Year","Maximum Water Height (m)","Earthquake Magnitude","Latitude","Longitude","COUNTRY"
"NEW CALEDONIA",2017,0.1,6.6,-21.648,168.859,"NCL"
"NEW CALEDONIA",2017,0.05,6.3,-21.638,168.673,"NCL"
"NEW CALEDONIA",2017,0.08,6.6,-21.503,168.598,"NCL"
"NEW CALEDONIA",2017,0.37,7,-21.325,168.672,"NCL"
"NEW CALEDONIA",2018,0.27,7.1,-22.03,170.126,"NCL"
"NEW CALEDONIA",2018,0.05,6.5,-21.743,169.522,"NCL"
"NEW CALEDONIA",2018,2,7.5,-21.95,169.427,"NCL"
"NEW CALEDONIA",2021,0.78,7.7,-23.054,171.601,"NCL"
"NEW CALEDONIA",2022,0.07,6.9,-22.716,170.286,"NCL"
"NEW CALEDONIA",2022,0.05,7,-22.579,170.354,"NCL"
"NEW ZEALAND",2002,NA,NA,-44.7,169.2,"NZL"
"NEW ZEALAND",2003,4,7.2,-45.104,167.144,"NZL"
"NEW ZEALAND",2004,NA,7.1,-46.676,164.721,"NZL"
"NEW ZEALAND",2007,0.35,7.4,-49.418,163.954,"NZL"
"NEW ZEALAND",2009,0.47,7.8,-45.762,166.562,"NZL"
"NEW ZEALAND",2011,3.5,6.1,-43.583,172.68,"NZL"
"NEW ZEALAND",2011,1.2,7.6,-29.539,-176.34,"NZL"
"NEW ZEALAND",2011,0.14,7.4,-28.993,-176.238,"NZL"
"NEW ZEALAND",2013,0.07,6.5,-41.704,174.337,"NZL"
"NEW ZEALAND",2013,0.08,6.5,-41.734,174.152,"NZL"
"NEW ZEALAND",2014,0.13,6.9,-29.977,-177.725,"NZL"
"NEW ZEALAND",2016,0.21,7,-37.359,179.146,"NZL"
"NEW ZEALAND",2016,6.9,7.8,-42.737,173.054,"NZL"
"NEW ZEALAND",2019,0.14,7.2,-30.805,-178.095,"NZL"
"NEW ZEALAND",2020,0.11,7.4,-33.294,-177.838,"NZL"
"NEW ZEALAND",2021,0.28,7.3,-37.563,179.444,"NZL"
"NEW ZEALAND",2021,0.31,7.4,-29.613,-177.843,"NZL"
"NEW ZEALAND",2021,1,8.1,-29.74,-177.267,"NZL"
"NEW ZEALAND",2022,0.1,6.5,-29.531,-176.749,"NZL"
"NEW ZEALAND",2022,1,5.4,-38.808,175.906,"NZL"
"PAKISTAN",2013,0.57,7.7,25.18,62.26,"PAK"
"PAPUA NEW GUINEA",2000,3,8,-4.001,152.327,"PNG"
"PAPUA NEW GUINEA",2002,5.5,7.6,-3.26,142.94,"PNG"
"PAPUA NEW GUINEA",2007,10,NA,-5.52,148.121,"PNG"
"PAPUA NEW GUINEA",2014,0.11,7.5,-6.755,155.024,"PNG"
"PAPUA NEW GUINEA",2015,0.5,7.5,-4.729,152.562,"PNG"
"PAPUA NEW GUINEA",2015,1,7.5,-5.462,151.875,"PNG"
"PAPUA NEW GUINEA",2016,0.08,7.9,-4.505,153.522,"PNG"
"PAPUA NEW GUINEA",2017,0.04,7.9,-6.246,155.172,"PNG"
"PAPUA NEW GUINEA",2018,1,NA,-3.608,144.588,"PNG"
"PAPUA NEW GUINEA",2019,NA,7.6,-4.051,152.597,"PNG"
"PHILIPPINES",2000,20,NA,5.1,120.15,"PHL"
"PHILIPPINES",2002,3,7.5,6.033,124.249,"PHL"
"PHILIPPINES",2012,0.15,7.6,10.811,126.638,"PHL"
"PHILIPPINES",2017,0.2,6.9,5.504,125.066,"PHL"
"PHILIPPINES",2021,0.05,7.1,6.455,126.742,"PHL"
"PHILIPPINES",2022,NA,NA,10.715,125.04,"PHL"
"PHILIPPINES",2022,0.08,7,17.56,120.801,"PHL"
"RUSSIA",2006,21.9,8.3,46.592,153.266,"RUS"
"RUSSIA",2007,0.4,8.1,46.243,154.524,"RUS"
"RUSSIA",2007,3.2,6.2,47.116,141.798,"RUS"
"RUSSIA",2009,0.11,7.4,46.857,155.154,"RUS"
"RUSSIA",2013,0.2,7.2,46.221,150.788,"RUS"
"RUSSIA",2017,0.1,7.7,54.443,168.857,"RUS"
"RUSSIA",2018,90,NA,50.559,131.472,"RUS"
"RUSSIA",2020,0.25,7.5,48.986,157.693,"RUS"
"SAMOA",2006,0.08,6.9,-16.592,-172.033,"WSM"
"SAMOA",2009,22.35,8.1,-15.489,-172.095,"WSM"
"SOLOMON ISLANDS",2003,2,7.3,-10.491,160.77,"SLB"
"SOLOMON ISLANDS",2007,12.1,8.1,-8.46,157.044,"SLB"
"SOLOMON ISLANDS",2007,0.05,7.2,-11.61,165.762,"SLB"
"SOLOMON ISLANDS",2010,0.01,6.6,-8.743,157.477,"SLB"
"SOLOMON ISLANDS",2010,7.52,7.1,-8.799,157.346,"SLB"
"SOLOMON ISLANDS",2010,0.03,6.8,-9.019,157.551,"SLB"
"SOLOMON ISLANDS",2013,11,7.9,-10.766,165.114,"SLB"
"SOLOMON ISLANDS",2013,0.09,7,-10.928,166.018,"SLB"
"SOLOMON ISLANDS",2014,0.05,7.6,-11.27,162.148,"SLB"
"SOLOMON ISLANDS",2014,0.16,7.4,-11.463,162.051,"SLB"
"SOLOMON ISLANDS",2015,0.01,6.7,-9.307,158.403,"SLB"
"SOLOMON ISLANDS",2015,0.09,7,-10.401,165.141,"SLB"
"SOLOMON ISLANDS",2015,0.1,6.8,-8.899,158.422,"SLB"
"SOLOMON ISLANDS",2016,0.43,7.8,-10.681,161.327,"SLB"
"SOLOMON ISLANDS",2016,0.05,6.9,-10.749,161.132,"SLB"
"SOLOMON ISLANDS",2022,0.03,7,-9.812,159.596,"SLB"
"SOUTH KOREA",2006,NA,NA,NA,NA,"KOR"
"SOUTH KOREA",2007,1.65,NA,NA,NA,"KOR"
"SOUTH KOREA",2008,1.3,NA,NA,NA,"KOR"
"SOUTH KOREA",2010,NA,NA,NA,NA,"KOR"
"TAIWAN",2001,0.16,6.8,23.954,122.734,"TWN"
"TAIWAN",2002,0.2,7.1,24.279,122.179,"TWN"
"TAIWAN",2006,0.15,5.2,20.656,119.997,"TWN"
"TAIWAN",2006,0.12,7,21.799,120.547,"TWN"
"TONGA",2006,0.27,8,-20.187,-174.123,"TON"
"TONGA",2009,0.15,7.6,-23.046,-174.659,"TON"
"TONGA",2022,0.15,NA,-20.536,-175.382,"TON"
"TONGA",2022,22,NA,-20.536,-175.382,"TON"
"TONGA",2022,0.36,NA,-20.536,-175.382,"TON"
"TONGA",2022,0.12,7.3,-19.318,-172.1,"TON"
"USA",2006,0.1,6.7,19.878,-155.935,"USA"
"USA",2018,0.4,6.9,19.318,-155,"USA"
"USA TERRITORY",2010,0.04,NA,16.708,145.97,"USA"
"USA TERRITORY",2010,0.07,6.9,12.484,141.476,"USA"
"VANUATU",2002,3,7.2,-17.6,167.856,"VUT"
"VANUATU",2007,0.08,7.1,-20.617,169.357,"VUT"
"VANUATU",2008,0.03,6.4,-19.941,168.953,"VUT"
"VANUATU",2009,0.29,7.6,-13.006,166.51,"VUT"
